PROVINCIA;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;ANUAL
ALBACETE;  ;  ;  ;  ;  ;  ;  ;  ; 1;  ;  ;  ;1
ALICANTE;  ;  ; 1;  ;  ;  ;  ;  ; 1;  ;  ;  ;2
BALEARES;  ;  ;  ;  ; 1;  ;  ;  ; 2; 1;  ;  ;4
CASTELLON;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 1;  ;1
GIPUZKOA;  ;  ;  ;  ;  ;  ;  ;  ; 1;  ;  ;  ;1
MALAGA;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 1;1
MURCIA;  ;  ;  ;  ;  ;  ;  ;  ; 1;  ;  ;  ;1
PONTEVEDRA;  ;  ;  ;  ;  ;  ;  ;  ;  ; 1;  ;  ;1
TARRAGONA;  ;  ;  ;  ;  ;  ;  ;  ; 2;  ;  ;  ;2
VALENCIA;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 2;  ;2
